"id","sales_price","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
52100,11.3,0,0,1,0,0,1,0,0,0,0,2,0,120,5,1,1,1,1,1,0,144.99,21022.1001,1,0,3.3,10.89
63705,16.335,0,0,1,0,0,1,1,1,0,0,2,0,135,5,1,1,1,1,1,0,104.958,11016.181764,0,0,2.9,8.41
92534,12.52,0,0,1,0,0,1,0,0,0,0,2,0,120,5,1,1,1,1,1,0,146.916,21584.311056,1,0,4,16
95397,14.608,1,0,0,0,0,1,1,1,0,0,0,1,124,5,1,1,1,1,1,1,162.3,26341.29,1,0,3.4,11.56
18535,9.88,0,0,1,0,0,1,2,1,0,0,0,1,156,4,1,1,1,1,1,0,100,10000,1,1,8.6,73.96
60480,20.35,1,0,0,0,0,0,0,1,1,0,2,0,139,5,1,1,1,1,0,0,62,3844,0,0,2.9,8.41
16043,25.26,0,0,1,0,0,1,2,0,1,0,1,1,149,5,1,1,1,0,0,0,45,2025,1,0,3.2,10.24
35326,19.47,0,1,0,0,0,1,1,1,0,0,2,0,108,5,1,1,0,0,0,0,34.16,1166.9056,0,0,1.8,3.24
34589,18.06,0,1,0,0,0,0,1,1,0,0,1,1,119,6,0,0,0,0,0,0,12.114,146.748996,0,0,1,1
24274,31.99,0,0,1,0,0,1,1,1,0,0,0,1,155,5,0,0,0,0,0,0,17,289,0,0,1.6,2.56
39626,4.11,0,1,0,0,0,1,0,0,1,0,2,0,139,4,1,1,1,1,1,0,140,19600,1,1,7.1,50.41
104358,9.54,0,0,0,0,1,1,1,1,0,0,0,0,120,5,1,1,1,1,0,0,85,7225,0,0,2.1,4.41
100304,13.73,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,1,1,1,0,124.955,15613.752025,1,0,4.8,23.04
53050,13.08,0,0,0,1,0,1,1,0,0,0,0,1,120,5,1,1,1,1,1,1,165.325,27332.355625,1,0,5.6,31.36
12606,8.72,0,0,0,1,0,1,0,0,0,0,1,1,190,3,1,1,1,1,0,0,89.3,7974.49,1,1,11.5,132.25
18294,19.6,0,0,1,0,0,0,1,1,0,0,1,1,183,5,1,1,0,0,0,0,38.6,1489.96,1,0,4.2,17.64
47425,7.892,0,1,0,0,0,1,2,1,0,0,0,1,148,4,1,1,1,1,1,1,158.8,25217.44,1,1,6.4,40.96
21004,22.15,0,0,0,1,0,1,1,1,0,0,0,1,124,5,1,1,1,1,1,1,185,34225,0,0,2.7,7.29
34565,27.6,0,0,0,1,0,1,1,1,0,0,1,0,123,5,1,0,0,0,0,0,20.8,432.64,0,0,2.1,4.41
26206,19.178,0,0,1,0,0,1,1,1,0,0,1,1,135,5,1,1,1,1,0,0,78.026,6088.056676,1,0,3.3,10.89
60984,15.75,1,0,0,0,0,1,1,1,0,0,1,0,161,5,1,1,1,1,1,0,111,12321,0,0,2.2,4.84
43072,33.98,1,0,0,0,0,1,1,1,0,0,1,1,115,6,1,1,1,0,0,0,49.111,2411.890321,0,0,1.2,1.44
19356,15.91,0,0,1,0,0,1,1,1,0,0,1,1,123,5,1,1,1,1,0,0,98.523,9706.781529,0,0,2.8,7.84
100655,5.31,0,1,0,0,0,1,2,0,1,0,2,1,137,4,1,1,1,1,1,0,143,20449,1,1,8.6,73.96
22488,25.32,1,0,0,0,0,1,1,1,0,0,1,1,124,5,1,1,1,1,0,0,52.1,2714.41,1,0,3.5,12.25
67017,15.18,0,1,0,0,0,1,1,1,0,0,1,1,119,5,1,1,1,1,0,0,67.8,4596.84,1,0,3.2,10.24
2956,9.9,0,0,1,0,0,1,0,1,0,0,0,1,173,4,1,1,1,1,1,1,150.4,22620.16,1,1,7.9,62.41
18462,17.41,0,0,1,0,0,1,2,1,1,0,0,1,120,5,1,1,1,1,0,0,81,6561,0,0,2.3,5.29
6382,33.02,0,0,1,0,0,1,1,1,0,1,1,1,155,5,1,0,0,0,0,0,29.4,864.36,0,0,1.2,1.44
78353,25.45,0,0,1,0,0,1,1,1,0,0,1,1,111,6,1,1,1,0,0,0,45.429,2063.794041,0,0,1.1,1.21
78297,6.85,0,0,1,0,0,1,0,0,1,0,2,0,127,5,1,1,1,1,1,1,192.01,36867.8401,1,0,4.6,21.16
86002,25.219,0,0,1,0,0,1,2,0,1,0,0,1,136,5,1,1,1,1,0,0,65,4225,1,0,3.3,10.89
39405,9.95,0,0,0,0,1,1,1,1,0,0,1,1,119,5,1,1,1,1,1,0,138,19044,1,0,3.8,14.44
95083,12.56,0,1,0,0,0,1,1,1,0,0,1,0,102,5,1,1,1,1,1,1,174.444,30430.709136,0,0,2.6,6.76
77013,12.14,1,0,0,0,0,0,2,1,0,0,0,1,234,4,1,1,1,1,0,0,83.25,6930.5625,1,1,8.9,79.21
26033,12.13,0,0,0,1,0,1,0,1,0,0,0,1,125,4,1,1,1,1,1,0,114,12996,1,1,7.8,60.84
47690,17.859,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,1,0,117.5,13806.25,1,0,3.4,11.56
90689,10.9,0,0,0,0,1,0,0,1,0,0,0,1,136,5,1,1,0,0,0,0,36.2,1310.44,1,0,3.5,12.25
98989,12.02,0,1,0,0,0,0,0,1,0,0,0,1,146,5,1,1,1,0,0,0,46.346,2147.951716,1,0,4.7,22.09
25819,16.54,1,0,0,0,0,0,1,1,0,1,2,1,155,5,1,1,1,1,0,0,92.9,8630.41,1,0,4,16
20284,14.03,0,0,0,0,1,1,1,1,0,1,2,0,114,5,1,1,1,1,0,0,61.5,3782.25,1,0,3.3,10.89
70423,27.07,0,0,0,1,0,0,2,1,0,0,0,1,149,6,1,1,0,0,0,0,38.51,1483.0201,0,0,2.7,7.29
41187,10.46,1,0,0,0,0,1,1,1,0,0,2,1,199,4,1,1,1,1,1,0,148,21904,1,1,9,81
22134,17.689,0,0,1,0,0,1,1,1,0,0,0,1,120,5,1,1,1,1,0,0,95.001,9025.190001,1,0,4.4,19.36
28507,15,1,0,0,0,0,0,2,1,0,0,0,1,223,4,1,1,1,1,0,0,99.654,9930.919716,1,1,7.7,59.29
80527,34.04,1,0,0,0,0,1,1,1,0,1,1,1,115,6,1,1,0,0,0,0,39.99,1599.2001,0,0,1.1,1.21
34618,9.19,0,1,0,0,0,0,0,1,0,0,0,0,149,4,1,1,1,1,0,0,92,8464,1,1,6.6,43.56
54771,13.74,1,0,0,0,0,1,2,0,1,0,0,1,137,5,1,1,1,1,1,0,115.6,13363.36,1,0,5.8,33.64
10467,22.869,1,0,0,0,0,1,1,1,0,1,0,1,128,5,1,1,1,1,0,0,80.639,6502.648321,0,0,2.3,5.29
30965,21.16,0,1,0,0,0,1,1,1,0,0,1,1,108,5,1,0,0,0,0,0,25.442,647.295364,0,0,1,1
85853,23.63,0,0,1,0,0,1,1,1,0,1,1,1,119,6,1,1,1,1,0,0,51.046,2605.694116,0,0,1.2,1.44
47571,10.83,0,1,0,0,0,1,0,0,1,0,2,0,119,5,1,1,1,1,1,0,136,18496,1,0,5.4,29.16
55304,10.99,0,1,0,0,0,0,2,1,0,0,0,0,136,5,1,1,1,0,0,0,48.921,2393.264241,1,0,4.1,16.81
36496,10.83,0,1,0,0,0,1,0,1,0,0,1,1,119,5,1,1,1,1,1,0,110,12100,1,0,5.2,27.04
58364,17.74,0,1,0,0,0,1,1,1,0,0,2,0,102,5,1,1,0,0,0,0,30.38,922.9444,0,0,1.9,3.61
18690,16.709,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,1,0,118.5,14042.25,1,0,3.2,10.24
69098,4.65,0,0,1,0,0,1,2,0,1,0,0,0,148,5,1,1,1,1,1,1,153,23409,1,1,7.5,56.25
3946,16.72,0,1,0,0,0,0,1,1,0,0,1,1,119,5,0,0,0,0,0,0,14.104,198.922816,0,0,1.2,1.44
82383,19.38,0,0,1,0,0,1,1,1,0,0,2,1,139,5,1,1,1,0,0,0,41,1681,1,0,4.1,16.81
103967,11.42,0,0,0,1,0,1,2,1,0,0,1,1,130,5,1,1,1,1,1,1,156,24336,1,1,7.1,50.41
53969,13.96,0,0,1,0,0,1,1,1,0,0,1,1,117,5,1,1,1,1,1,0,109.532,11997.259024,1,0,4,16
44385,24.19,0,0,0,1,0,0,2,1,0,1,1,1,235,4,1,1,1,1,1,0,118.3,13994.89,1,1,7.2,51.84
39106,14.09,0,0,1,0,0,1,0,1,0,0,0,1,135,5,1,1,1,1,1,0,122.127,14915.004129,1,0,4.4,19.36
12182,14.24,1,0,0,0,0,0,0,1,0,0,0,0,179,4,1,1,1,1,0,0,70.934,5031.632356,1,0,5.7,32.49
24397,18.93,0,1,0,0,0,1,2,1,0,0,0,0,108,5,1,0,0,0,0,0,28.78,828.2884,0,0,2.1,4.41
56440,19.36,0,0,1,0,0,1,1,0,0,0,1,1,120,5,1,1,0,0,0,0,32.7,1069.29,1,0,3,9
30499,8.54,0,0,0,1,0,0,3,1,0,0,1,1,222,4,1,1,1,1,1,1,150.6,22680.36,1,1,10.1,102.01
15834,30.37,1,0,0,0,0,0,1,1,0,0,1,1,165,5,1,1,1,1,0,0,57.582,3315.686724,1,0,3.1,9.61
76654,11.09,0,0,1,0,0,1,0,1,0,0,2,0,184,4,1,1,1,1,1,0,103.097,10628.991409,1,1,8.4,70.56
54014,8.94,0,1,0,0,0,1,1,1,0,0,0,1,139,5,1,1,1,1,1,1,180,32400,1,0,4.3,18.49
67495,18.48,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,0,0,53.55,2867.6025,0,0,1.7,2.89
1963,14.53,0,1,0,0,0,1,1,0,0,0,2,0,109,5,1,1,1,0,0,0,45.967,2112.965089,0,0,2.1,4.41
